linear,"{'C': [0.1, 0.1, 0.1, 0.1, 0.1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 100, 100, 100, 100, 100, 1000, 1000, 1000, 1000, 1000], 'gamma': [1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001], 'auc': [0.6642326075411578, 0.6642326075411578, 0.6642326075411578, 0.6642326075411578, 0.6642326075411578, 0.831651619755709, 0.831651619755709, 0.831651619755709, 0.831651619755709, 0.831651619755709, 0.831651619755709, 0.831651619755709, 0.831651619755709, 0.831651619755709, 0.831651619755709, 0.8307222517259693, 0.8307222517259693, 0.8307222517259693, 0.8307222517259693, 0.8307222517259693, 0.8250132766861391, 0.8250132766861391, 0.8250132766861391, 0.8250132766861391, 0.8250132766861391], 'f1': [0.6812383256057484, 0.6812383256057484, 0.6812383256057484, 0.6812383256057484, 0.6812383256057484, 0.8314675069135228, 0.8314675069135228, 0.8314675069135228, 0.8314675069135228, 0.8314675069135228, 0.8315329882175619, 0.8315329882175619, 0.8315329882175619, 0.8315329882175619, 0.8315329882175619, 0.83059907037259, 0.83059907037259, 0.83059907037259, 0.83059907037259, 0.83059907037259, 0.824902295419278, 0.824902295419278, 0.824902295419278, 0.824902295419278, 0.824902295419278], 'time': [-209.72786688804626, -199.555344581604, -199.8042585849762, -202.11551594734192, -194.73573517799377, -121.41625714302063, -125.76489162445068, -124.92514395713806, -125.11866044998169, -126.84252858161926, -158.7038595676422, -154.82862997055054, -154.86259055137634, -152.76083111763, -146.40493512153625, -159.5007402896881, -145.75673413276672, -149.62334442138672, -152.820565700531, -147.94409155845642, -142.9899787902832, -130.27843165397644, -138.11625862121582, -136.94538474082947, -137.23891639709473]}"
rbf,"{'C': [0.1, 0.1, 0.1, 0.1, 0.1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 100, 100, 100, 100, 100, 1000, 1000, 1000, 1000, 1000], 'gamma': [1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001], 'auc': [0.34731810939989377, 0.08536909187466808, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728, 0.8174455655868296, 0.7397769516728625, 0.09877854487519915, 0.05297397769516728, 0.05297397769516728, 0.823951141795008, 0.8336431226765799, 0.75570897503983, 0.09864577801380775, 0.05297397769516728, 0.8238183749336165, 0.8335103558151885, 0.8324482209240573, 0.7575677110993096, 0.09917684545937334, 0.8204992033988316, 0.832979288369623, 0.8315188528943176, 0.8327137546468402, 0.7575677110993096], 'f1': [0.3632042146294991, 0.03163130193325394, 0.005330126617165993, 0.005330126617165993, 0.005330126617165993, 0.8181280407279172, 0.7471931138419302, 0.04503907771607481, 0.005330126617165993, 0.005330126617165993, 0.8242176251386255, 0.8336442487971544, 0.7611168005483353, 0.046537265406909396, 0.005330126617165993, 0.824035243605333, 0.8334719228779056, 0.8322965948725757, 0.7628673369227911, 0.04736971146056255, 0.8207107001761594, 0.8329293647379329, 0.8314610078465114, 0.8325689152044263, 0.7628704569063617], 'time': [-250.09414768218994, -251.0444896221161, -252.73375415802002, -248.32272934913635, -237.91164994239807, -216.5988929271698, -167.65849113464355, -262.51059675216675, -237.39482617378235, -236.13965940475464, -261.87752652168274, -181.4019594192505, -183.80637860298157, -259.08136320114136, -262.8862929344177, -245.3311812877655, -170.11409854888916, -158.61788630485535, -180.69927334785461, -259.7154998779297, -258.72024512290955, -148.9084722995758, -144.78066205978394, -142.8517918586731, -163.32336139678955]}"
poly,"{'C': [0.1, 0.1, 0.1, 0.1, 0.1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 100, 100, 100, 100, 100, 1000, 1000, 1000, 1000, 1000], 'gamma': [1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001], 'auc': [0.06664896441848114, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728, 0.6378120021242698, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728, 0.652947424322889, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728, 0.6526818906001062, 0.06664896441848114, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728, 0.6525491237387148, 0.6378120021242698, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728], 'f1': [0.02659314273103069, 0.005330126617165993, 0.005330126617165993, 0.005330126617165993, 0.005330126617165993, 0.6684315295852165, 0.005330126617165993, 0.005330126617165993, 0.005330126617165993, 0.005330126617165993, 0.6804947339688959, 0.005330126617165993, 0.005330126617165993, 0.005330126617165993, 0.005330126617165993, 0.6803809957255089, 0.02659314273103069, 0.005330126617165993, 0.005330126617165993, 0.005330126617165993, 0.6802822787243464, 0.6684315295852165, 0.005330126617165993, 0.005330126617165993, 0.005330126617165993], 'time': [-254.42446041107178, -244.36784315109253, -247.01023745536804, -232.69675540924072, -243.4987437725067, -240.19047236442566, -232.01797461509705, -262.3749678134918, -228.41785311698914, -231.14825224876404, -264.7912697792053, -278.76092052459717, -275.1663224697113, -264.0803394317627, -253.81783986091614, -263.6143352985382, -266.64040780067444, -260.5801384449005, -259.19826316833496, -265.55221152305603, -262.12345480918884, -248.25893998146057, -239.55156755447388, -238.10168623924255, -237.5638988018036]}"
sigmoid,"{'C': [0.1, 0.1, 0.1, 0.1, 0.1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 100, 100, 100, 100, 100, 1000, 1000, 1000, 1000, 1000], 'gamma': [1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001, 1, 0.1, 0.01, 0.001, 0.0001], 'auc': [0.657328730748805, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728, 0.8236856080722251, 0.6642326075411578, 0.05297397769516728, 0.05297397769516728, 0.05297397769516728, 0.8005841741901222, 0.8317843866171004, 0.6642326075411578, 0.05297397769516728, 0.05297397769516728, 0.7812002124269782, 0.8315188528943176, 0.8319171534784918, 0.6642326075411578, 0.05297397769516728, 0.7709771640998406, 0.8304567180031864, 0.831651619755709, 0.831651619755709, 0.6642326075411578], 'f1': [0.6744459934195357, 0.005330798764280389, 0.005330126617165993, 0.005330126617165993, 0.005330126617165993, 0.8236082606098253, 0.6812350174812094, 0.005330798764280389, 0.005330126617165993, 0.005330126617165993, 0.8013891537631715, 0.8316008576294855, 0.6812383256057484, 0.005330798764280389, 0.005330126617165993, 0.7833976478887784, 0.8313629686923478, 0.83173002743956, 0.6812383256057484, 0.005330798764280389, 0.7729600091901826, 0.8302991345655989, 0.8315329882175619, 0.8314675069135228, 0.6812383256057484], 'time': [-200.2171187400818, -244.39806389808655, -244.42001819610596, -236.24931025505066, -224.2941439151764, -99.58222770690918, -190.98678588867188, -259.594523191452, -230.19655537605286, -227.7583327293396, -103.07769393920898, -142.3922824859619, -211.49150609970093, -259.68787693977356, -256.9272005558014, -101.60303616523743, -153.45647025108337, -137.94581985473633, -206.71204113960266, -241.65059852600098, -87.51445603370667, -140.3681995868683, -139.40661334991455, -128.28879308700562, -194.20379972457886]}"
